,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
1628,PTRCabc,TM_1377,Transport,"['atp_c', 'pi_c', 'h2o_c', 'ptrc_c', 'h_c', 'adp_c', 'ptrc_e']",,Q9X197.pdb,Q9X197.pdb
1629,PTRCabc,TM_1378,Transport,"['atp_c', 'pi_c', 'h2o_c', 'ptrc_c', 'h_c', 'adp_c', 'ptrc_e']",,Q9X198.pdb,Q9X198.pdb
1630,SPMDabc,TM_1375,Transport,"['atp_c', 'pi_c', 'spmd_c', 'h_c', 'h2o_c', 'spmd_e', 'adp_c']",,Q9X195.pdb,Q9X195.pdb
1631,SPMDabc,TM_1376,Transport,"['atp_c', 'pi_c', 'spmd_c', 'h_c', 'h2o_c', 'spmd_e', 'adp_c']",,Q9X196.pdb,Q9X196.pdb
1632,SPMDabc,TM_1377,Transport,"['atp_c', 'pi_c', 'spmd_c', 'h_c', 'h2o_c', 'spmd_e', 'adp_c']",,Q9X197.pdb,Q9X197.pdb
1633,SPMDabc,TM_1378,Transport,"['atp_c', 'pi_c', 'spmd_c', 'h_c', 'h2o_c', 'spmd_e', 'adp_c']",,Q9X198.pdb,Q9X198.pdb
1634,PYK,TM_0208,Glycolysis/Gluconeogenesis,"['atp_c', 'pyr_c', 'pep_c', 'h_c', 'adp_c']",,Q9WY51.pdb,Q9WY51.pdb
1635,PYNP1,TM_1653,Pyrimidine Metabolism,"['r1p_c', 'csn_c', 'pi_c', 'cytd_c']",,Q9S5X9.pdb,Q9S5X9.pdb
1636,TMDPP,TM_1653,Pyrimidine Metabolism,"['thymd_c', 'thym_c', 'pi_c', '2dr1p_c']",,Q9S5X9.pdb,Q9S5X9.pdb
1637,QULNS,TM_1644,NAD Metabolism,"['dhap_c', 'quln_c', 'iasp_c', 'pi_c', 'h2o_c']",4P3X,,4p3x_modified_min.pdb
1638,RBFSa,TM_1825,Riboflavin Metabolism,"['h2o_c', 'db4p_c', 'pi_c', '4r5au_c', 'dmlz_c']",,Q9X2E5.pdb,Q9X2E5.pdb
1639,RBFSa,TM_1827,Riboflavin Metabolism,"['h2o_c', 'db4p_c', 'pi_c', '4r5au_c', 'dmlz_c']",,Q9X2E7.pdb,Q9X2E7.pdb
1640,RBFSb,TM_1825,Riboflavin Metabolism,"['4r5au_c', 'dmlz_c', 'ribflv_c']",,Q9X2E5.pdb,Q9X2E5.pdb
1641,RBFSb,TM_1827,Riboflavin Metabolism,"['4r5au_c', 'dmlz_c', 'ribflv_c']",,Q9X2E7.pdb,Q9X2E7.pdb
1642,RBK_L1r,TM_0284,Arabinose Metabolism,"['atp_c', 'h_c', 'adp_c', 'ru5p_L_c', 'rbl_L_c']",,Q9WYC0.pdb,Q9WYC0.pdb
1643,RBP4E,TM_0283,Carbohydrate Metabolism,"['ru5p_L_c', 'xu5p_D_c']",,Q9WYB9.pdb,Q9WYB9.pdb
1644,RMI,TM_1071,Rhamnose Metabolism,"['rmn_c', 'rml_c']",,Q9X0G0.pdb,Q9X0G0.pdb
1645,RMK,TM_1073,Rhamnose Metabolism,"['atp_c', 'h_c', 'rml1p_c', 'rml_c', 'adp_c']",,Q9X0G2.pdb,Q9X0G2.pdb
1646,RMNabc,TM_1063,Transport,"['atp_c', 'rmn_c', 'h2o_c', 'h_c', 'adp_c', 'rmn_e', 'pi_c']",,Q9X0F3.pdb,Q9X0F3.pdb
1647,RMNabc,TM_1064,Transport,"['atp_c', 'rmn_c', 'h2o_c', 'h_c', 'adp_c', 'rmn_e', 'pi_c']",,Q9X0F4.pdb,Q9X0F4.pdb
1648,RMNabc,TM_1065,Transport,"['atp_c', 'rmn_c', 'h2o_c', 'h_c', 'adp_c', 'rmn_e', 'pi_c']",,Q9X0F5.pdb,Q9X0F5.pdb
1649,RMNabc,TM_1066,Transport,"['atp_c', 'rmn_c', 'h2o_c', 'h_c', 'adp_c', 'rmn_e', 'pi_c']",,Q9X0F6.pdb,Q9X0F6.pdb
1650,RMNabc,TM_1067,Transport,"['atp_c', 'rmn_c', 'h2o_c', 'h_c', 'adp_c', 'rmn_e', 'pi_c']",,Q9X0F7.pdb,Q9X0F7.pdb
1651,RMPA,TM_1072,Rhamnose Metabolism,"['dhap_c', 'rml1p_c', 'lald_L_c']",1PVT,,1pvt_modified_min.pdb
1652,RNDR1,TM_0118,Purine Metabolism,"['trdrd_c', 'trdox_c', 'h2o_c', 'dadp_c', 'adp_c']",,G4FH33.pdb,G4FH33.pdb
1653,RNDR2,TM_0118,Purine Metabolism,"['trdox_c', 'gdp_c', 'h2o_c', 'dgdp_c', 'trdrd_c']",,G4FH33.pdb,G4FH33.pdb
1654,RNDR3,TM_0118,Purine Metabolism,"['trdrd_c', 'cdp_c', 'h2o_c', 'dcdp_c', 'trdox_c']",,G4FH33.pdb,G4FH33.pdb
1655,RNDR4,TM_0118,Purine Metabolism,"['trdox_c', 'udp_c', 'h2o_c', 'dudp_c', 'trdrd_c']",,G4FH33.pdb,G4FH33.pdb
1656,RPE,TM_1718,Pentose Phosphate Pathway,"['ru5p_D_c', 'xu5p_D_c']",,Q9X243.pdb,Q9X243.pdb
1657,RPI,TM_1080,Pentose Phosphate Pathway,"['ru5p_D_c', 'r5p_c']",1O1X,,1o1x_modified_min.pdb
1658,SERAT,TM_0666,Cysteine Metabolism,"['ser_L_c', 'acser_c', 'coa_c', 'accoa_c']",,Q9WZD4.pdb,Q9WZD4.pdb
1659,SERD_Lr,TM_0356,Glycine and Serine Metabolism,"['pyr_c', 'ser_L_c', 'nh4_c']",,Q9WYJ1.pdb,Q9WYJ1.pdb
1660,THRD_L,TM_0356,Threonine Metabolism,"['thr_L_c', '2obut_c', 'nh4_c']",,Q9WYJ1.pdb,Q9WYJ1.pdb
1661,SERTRS,TM_1379,tRNA Metabolism,"['atp_c', 'trnaser_c', 'ppi_c', 'amp_c', 'sertrna_c', 'ser_L_c']",,Q9X199.pdb,Q9X199.pdb
1662,SHK3Dr,TM_0346,Chorismate Biosynthesis,"['skm_c', 'h_c', 'nadp_c', '3dhsk_c', 'nadph_c']",3U62,,3u62.pdb
1664,TALA,TM_0295,Pentose Phosphate Pathway,"['f6p_c', 's7p_c', 'g3p_c', 'e4p_c']",1VPX,,1vpx.pdb
1665,THPAT,TM_1519,Lysine Biosynthesis,"['h2o_c', 'nal2a6o_c', 'thdp_c', 'coa_c', 'accoa_c']",,Q9X1K7.pdb,Q9X1K7.pdb
1666,THRS,TM_0546,Threonine Metabolism,"['h2o_c', 'pi_c', 'phom_c', 'thr_L_c']",,Q9WZ16.pdb,Q9WZ16.pdb
1667,THRTRS,TM_0740,Threonine Metabolism,"['trnathr_c', 'ppi_c', 'atp_c', 'thr_L_c', 'amp_c', 'thrtrna_c']",,Q9WZJ9.pdb,Q9WZJ9.pdb
1668,THZPSN,TM_1267,Thiamine Biosynthesis,"['atp_c', 'ppi_c', 'h2o_c', 'co2_c', '4hba_c', 'amp_c', 'cys_L_c', 'h_c', 'tyr_L_c', 'ala_L_c', 'dxyl5p_c', '4mpetz_c']",,Q9X0Z4.pdb,Q9X0Z4.pdb
1669,TRDR,TM_0134,Energy Metabolism,"['trdrd_c', 'trdox_c', 'nadp_c', 'nadph_c', 'h_c']",,Q9WXY7.pdb,Q9WXY7.pdb
1670,TRDR,TM_0869,Energy Metabolism,"['trdrd_c', 'trdox_c', 'nadp_c', 'nadph_c', 'h_c']",,Q9WZX3.pdb,Q9WZX3.pdb
1671,TRPS1r,TM_0137,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['trp_L_c', 'h2o_c', 'g3p_c', '3ig3p_c', 'ser_L_c']",,P50908.pdb,P50908.pdb
1672,TRPS1r,TM_0138,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['trp_L_c', 'h2o_c', 'g3p_c', '3ig3p_c', 'ser_L_c']",,P50909.pdb,P50909.pdb
1673,TRPS1r,TM_0539,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['trp_L_c', 'h2o_c', 'g3p_c', '3ig3p_c', 'ser_L_c']",,Q9WZ09.pdb,Q9WZ09.pdb
1674,TRPS3,TM_0137,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['indole_c', '3ig3p_c', 'g3p_c']",,P50908.pdb,P50908.pdb
1675,TRPS2,TM_0138,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['indole_c', 'trp_L_c', 'ser_L_c', 'h2o_c']",,P50909.pdb,P50909.pdb
1676,TRPS2,TM_0539,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['indole_c', 'trp_L_c', 'ser_L_c', 'h2o_c']",,Q9WZ09.pdb,Q9WZ09.pdb
1677,TRPTRS,TM_0492,tRNA Metabolism,"['trp_L_c', 'ppi_c', 'trptrna_c', 'atp_c', 'trnatrp_c', 'amp_c']",2G36,,2g36.pdb
1678,TYRTRS,TM_0478,tRNA Metabolism,"['atp_c', 'tyrtrna_c', 'amp_c', 'tyr_L_c', 'trnatyr_c', 'ppi_c']",,Q9WYU8.pdb,Q9WYU8.pdb
1679,UAAGLS2,TM_0237,Peptidoglycan Biosynthesis,"['atp_c', 'pi_c', 'uamag_c', 'h_c', 'lys_L_c', 'adp_c', 'uGgl_c']",4BUB,,4bub.pdb
1680,UAGCVT_r,TM_0108,Peptidoglycan Biosynthesis,"['uaccg_c', 'pep_c', 'pi_c', 'uacgam_c']",,Q9WXW3.pdb,Q9WXW3.pdb
1681,UAGPT2,TM_0232,Peptidoglycan Biosynthesis,"['uacgam_c', 'h_c', 'uaaGgla_c', 'uaGgla_c', 'udp_c']",,Q9WY74.pdb,Q9WY74.pdb
1682,UAMAGS,TM_0234,Peptidoglycan Biosynthesis,"['atp_c', 'pi_c', 'h_c', 'glu_D_c', 'uama_c', 'adp_c', 'uamag_c']",4BUC,,4buc.pdb
1683,UAMAS,TM_0231,Peptidoglycan Biosynthesis,"['atp_c', 'uama_c', 'pi_c', 'uamr_c', 'h_c', 'adp_c', 'ala_L_c']",1J6U,,1j6u.pdb
1684,UAPGR,TM_1714,Peptidoglycan Biosynthesis,"['uamr_c', 'h_c', 'nadph_c', 'nadp_c', 'uaccg_c']",,Q9X239.pdb,Q9X239.pdb
1685,UDCPDPS,TM_1398,Lipid Biosynthesis,"['ipdp_c', 'udcpdp_c', 'ppi_c', 'frdp_c']",,Q9X1B8.pdb,Q9X1B8.pdb
1686,UDPG4E,TM_0509,Galactose metabolism,"['udpg_c', 'udpgal_c']",,Q9WYX9.pdb,Q9WYX9.pdb
1687,UDPGD,TM_0583,Galactose metabolism,"['h2o_c', 'udpg_c', 'nadh_c', 'h_c', 'nad_c', 'udpglcur_c']",,Q9WZ52.pdb,Q9WZ52.pdb
1688,UGLDDS2,TM_0236,Peptidoglycan Biosynthesis,"['atp_c', 'pi_c', 'uGgla_c', 'alaala_c', 'adp_c', 'uGgl_c']",3ZL8,,3zl8.pdb
1691,UPPRT,TM_0721,Pyrimidine Metabolism,"['prpp_c', 'ura_c', 'ppi_c', 'ump_c']",1O5O,,1o5o.pdb
1692,URAt,TM_0819,Transport,"['ura_c', 'ura_e']",,Q9WZS6.pdb,Q9WZS6.pdb
1693,VALTRS,TM_1817,tRNA Metabolism,"['val_L_c', 'ppi_c', 'atp_c', 'valtrna_c', 'trnaval_c', 'amp_c']",,Q9X2D7.pdb,Q9X2D7.pdb
1694,XYL3abc,TM_0071,Transport,"['xyl3_c', 'pi_c', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'xyl3_e']",,Q9WXS6.pdb,Q9WXS6.pdb
1695,XYL3abc,TM_0072,Transport,"['xyl3_c', 'pi_c', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'xyl3_e']",,Q9WXS7.pdb,Q9WXS7.pdb
1696,XYL3abc,TM_0073,Transport,"['xyl3_c', 'pi_c', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'xyl3_e']",,Q9WXS8.pdb,Q9WXS8.pdb
1697,XYL3abc,TM_0074,Transport,"['xyl3_c', 'pi_c', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'xyl3_e']",,Q9WXS9.pdb,Q9WXS9.pdb
1698,XYL3abc,TM_0075,Transport,"['xyl3_c', 'pi_c', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'xyl3_e']",,Q9WXT0.pdb,Q9WXT0.pdb
1699,XYLANabc,TM_0071,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXS6.pdb,Q9WXS6.pdb
1700,XYLANabc,TM_0072,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXS7.pdb,Q9WXS7.pdb
1701,XYLANabc,TM_0073,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXS8.pdb,Q9WXS8.pdb
1702,XYLANabc,TM_0074,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXS9.pdb,Q9WXS9.pdb
1703,XYLANabc,TM_0075,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXT0.pdb,Q9WXT0.pdb
1704,XYLANabc,TM_0056,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXR2.pdb,Q9WXR2.pdb
1705,XYLANabc,TM_0057,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXR3.pdb,Q9WXR3.pdb
1706,XYLANabc,TM_0058,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXR4.pdb,Q9WXR4.pdb
1707,XYLANabc,TM_0059,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXR5.pdb,Q9WXR5.pdb
1708,XYLANabc,TM_0060,Transport,"['atp_c', 'pi_c', 'xylan4_c', 'h_c', 'h2o_c', 'xylan4_e', 'adp_c']",,Q9WXR6.pdb,Q9WXR6.pdb
1709,XYLBabc,TM_0071,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'xylb_c', 'adp_c', 'xylb_e']",,Q9WXS6.pdb,Q9WXS6.pdb
1710,XYLBabc,TM_0072,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'xylb_c', 'adp_c', 'xylb_e']",,Q9WXS7.pdb,Q9WXS7.pdb
1711,XYLBabc,TM_0073,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'xylb_c', 'adp_c', 'xylb_e']",,Q9WXS8.pdb,Q9WXS8.pdb
1712,XYLBabc,TM_0074,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'xylb_c', 'adp_c', 'xylb_e']",,Q9WXS9.pdb,Q9WXS9.pdb
1713,XYLBabc,TM_0075,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'xylb_c', 'adp_c', 'xylb_e']",,Q9WXT0.pdb,Q9WXT0.pdb
1714,XYLI1,TM_1667,Xylan Metabolism,"['xylu_D_c', 'xyl_D_c']",,Q9X1Z5.pdb,Q9X1Z5.pdb
1715,XYLI2,TM_1667,Fructose Metabolism,"['fru_c', 'glc_D_c']",,Q9X1Z5.pdb,Q9X1Z5.pdb
1716,XYLK,TM_0116,Alternate Carbon Metabolism,"['atp_c', 'adp_c', 'xu5p_D_c', 'h_c', 'xylu_D_c']",,Q9WXX1.pdb,Q9WXX1.pdb
