,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
1367,FRUK_r,TM_0828,Carbohydrate Metabolism,"['fdp_c', 'h_c', 'adp_c', 'f1p_c', 'atp_c']",2AJR,,2ajr.pdb
1368,FTCD_r,TM_1560,Folate Metabolism,"['methf_c', 'h_c', 'nh4_c', '5forthf_c']",1O5H,,1o5h.pdb
1369,FTHFL,TM_1766,Folate Metabolism,"['thf_c', 'atp_c', 'pi_c', 'for_c', 'adp_c', '10fthf_c']",3DO6,,3do6.pdb
1370,FUM,TM_0540,Citric Acid Cycle,"['h2o_c', 'fum_c', 'mal_L_c']",,Q9WZ10.pdb,Q9WZ10.pdb
1371,FUM,TM_0541,Citric Acid Cycle,"['h2o_c', 'fum_c', 'mal_L_c']",,Q9WZ11.pdb,Q9WZ11.pdb
1372,G1PACT,TM_1629,Aminosugar Metabolism,"['h_c', 'acgam1p_c', 'gam1p_c', 'accoa_c', 'coa_c']",,Q9X1W4.pdb,Q9X1W4.pdb
1373,UAGDP,TM_1629,Aminosugar Metabolism,"['uacgam_c', 'utp_c', 'h_c', 'ppi_c', 'acgam1p_c']",,Q9X1W4.pdb,Q9X1W4.pdb
1374,G3PD1,TM_0378,Alternate Carbon Metabolism,"['dhap_c', 'h_c', 'nad_c', 'nadh_c', 'glyc3p_c']",1Z82,,1z82_modified_min.pdb
1377,G3PD1,TM_1432,Alternate Carbon Metabolism,"['dhap_c', 'h_c', 'nad_c', 'nadh_c', 'glyc3p_c']",,Q9X1E6.pdb,Q9X1E6.pdb
1378,NOX,TM_1432,Others,"['h2o2_c', 'h_c', 'nad_c', 'nadh_c', 'o2_c']",,Q9X1E6.pdb,Q9X1E6.pdb
1379,NOX,TM_1433,Others,"['h2o2_c', 'h_c', 'nad_c', 'nadh_c', 'o2_c']",,Q9X1E7.pdb,Q9X1E7.pdb
1380,G5SD,TM_0293,Proline Biosynthesis,"['glu5sa_c', 'pi_c', 'h_c', 'nadp_c', 'glu5p_c', 'nadph_c']",1O20,,1o20.pdb
1381,G6PDA_r,TM_0813,Aminosugar Metabolism,"['f6p_c', 'gam6p_c', 'nh4_c', 'h2o_c']",1J5X,,1j5x.pdb
1382,G6PDH2,TM_1155,Pentose Phosphate Pathway,"['h_c', '6pgl_c', 'g6p_c', 'nadp_c', 'nadph_c']",,Q9X0N9.pdb,Q9X0N9.pdb
1383,GALK,TM_1190,Galactose metabolism,"['atp_c', 'h_c', 'gal_c', 'gal1p_c', 'adp_c']",,P56838.pdb,P56838.pdb
1384,GALM1,TM_0282,Carbohydrate Metabolism,"['glc_bD_c', 'glc_D_c']",,Q9WYB8.pdb,Q9WYB8.pdb
1385,GALM2,TM_0282,Carbohydrate Metabolism,"['gal_c', 'gal_bD_c']",,Q9WYB8.pdb,Q9WYB8.pdb
1386,GalMr,TM_0282,Carbohydrate Metabolism,"['Glc_aD_c', 'glc_bD_c']",,Q9WYB8.pdb,Q9WYB8.pdb
1387,GALS3,TM_1192,Raffinose Metabolism,"['gal_c', 'h2o_c', 'glc_D_c', 'melib_c']",,G4FEF4.pdb,G4FEF4.pdb
1388,MANA1,TM_1624,Mannan Metabolism,"['manb_c', 'man_c', 'h2o_c']",,Q9X1V9.pdb,Q9X1V9.pdb
1389,MANA2,TM_1624,Mannan Metabolism,"['manb_c', 'h2o_c', 'man_c', 'mantr_c']",,Q9X1V9.pdb,Q9X1V9.pdb
1390,MANA3,TM_1624,Mannan Metabolism,"['mantr_c', 'h2o_c', 'manttr_c', 'man_c']",,Q9X1V9.pdb,Q9X1V9.pdb
1391,GALMAN600a_e,TM_1227,Mannan Metabolism,"['h2o_e', 'galman600_e', 'galman4_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1392,GALMAN600b_e,TM_1227,Mannan Metabolism,"['h2o_e', 'galman6_e', 'galman600_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1393,GALMAN600c_e,TM_1227,Mannan Metabolism,"['h2o_e', 'galman6_e', 'galman600_e', 'galman4_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1394,GALT,TM_0896,Galactose metabolism,"['h_c', 'ppi_c', 'utp_c', 'gal1p_c', 'udpgal_c']",,Q9WZZ8.pdb,Q9WZZ8.pdb
1395,GALT,TM_1191,Galactose metabolism,"['h_c', 'ppi_c', 'utp_c', 'gal1p_c', 'udpgal_c']",,O33836.pdb,O33836.pdb
1396,GALU,TM_0862,Galactose metabolism,"['h_c', 'ppi_c', 'udpg_c', 'g1p_c', 'utp_c']",,Q9WZW6.pdb,Q9WZW6.pdb
1397,GAPD,TM_0688,Glycolysis/Gluconeogenesis,"['13dpg_c', 'g3p_c', 'h_c', 'nadh_c', 'nad_c', 'pi_c']",1HDG,,1hdg.pdb
1399,GARFTi,TM_1248,Purine Biosynthesis,"['h_c', 'gar_c', 'thf_c', '10fthf_c', 'fgam_c']",,Q9X0X5.pdb,Q9X0X5.pdb
1400,GF6PTA,TM_0148,Aminosugar Metabolism,"['f6p_c', 'gam6p_c', 'glu_L_c', 'gln_L_c']",,Q9WXZ5.pdb,Q9WXZ5.pdb
1401,GHMT2r,TM_0720,Glycine and Serine Metabolism,"['h2o_c', 'mlthf_c', 'thf_c', 'gly_c', 'ser_L_c']",,Q9WZH9.pdb,Q9WZH9.pdb
1402,GLCAASE3,TM_1062,Galactose metabolism,"['trp_L_c', 'h_c', 'h2o_c', 'glcur_c', 'trpglcur_c']",,Q9X0F2.pdb,Q9X0F2.pdb
1403,GLCS1,TM_0895,Glycogene synthesis,"['glycogen_c', 'h_c', 'adp_c', 'adpglc_c']",,Q9WZZ7.pdb,Q9WZZ7.pdb
1404,GLCURS1,TM_0055,Xylan Metabolism,"['h2o_c', 'xylan4_c', 'glcur_c', 'xyl4_c']",,P96105.pdb,P96105.pdb
1405,GLCURS1,TM_0434,Xylan Metabolism,"['h2o_c', 'xylan4_c', 'glcur_c', 'xyl4_c']",,Q9WYR5.pdb,Q9WYR5.pdb
1406,GLGC,TM_0239,Glycogene synthesis,"['atp_c', 'h_c', 'ppi_c', 'g1p_c', 'adpglc_c']",,Q9WY81.pdb,Q9WY81.pdb
1407,GLGC,TM_0240,Glycogene synthesis,"['atp_c', 'h_c', 'ppi_c', 'g1p_c', 'adpglc_c']",,Q9WY82.pdb,Q9WY82.pdb
1408,GLNS,TM_0943,Glutamate Metabolism,"['atp_c', 'glu_L_c', 'pi_c', 'h_c', 'gln_L_c', 'adp_c', 'nh4_c']",,P36205.pdb,P36205.pdb
1409,GLNSP2,TM_0943,Peptidoglycan Biosynthesis,"['uaaGgtla_c', 'atp_c', 'uaaGgla_c', 'pi_c', 'h_c', 'adp_c', 'nh4_c']",,P36205.pdb,P36205.pdb
1410,GLU5K,TM_0294,Proline Biosynthesis,"['atp_c', 'adp_c', 'glu_L_c', 'glu5p_c']",,Q9WYD0.pdb,Q9WYD0.pdb
1411,GLUCAN2abc,TM_0300,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'glucan6_e', 'glucan6_c', 'adp_c']",,Q9WYD6.pdb,Q9WYD6.pdb
1412,GLUCAN2abc,TM_0301,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'glucan6_e', 'glucan6_c', 'adp_c']",,Q9WYD7.pdb,Q9WYD7.pdb
1413,GLUCAN2abc,TM_0302,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'glucan6_e', 'glucan6_c', 'adp_c']",,Q9WYD8.pdb,Q9WYD8.pdb
1414,GLUCAN2abc,TM_0303,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'glucan6_e', 'glucan6_c', 'adp_c']",,Q9WYD9.pdb,Q9WYD9.pdb
1415,GLUCAN2abc,TM_0304,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'glucan6_e', 'glucan6_c', 'adp_c']",,Q9WYE0.pdb,Q9WYE0.pdb
1416,GLUCANabc,TM_0300,Transport,"['glucan4_c', 'glucan4_e', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'pi_c']",,Q9WYD6.pdb,Q9WYD6.pdb
1417,GLUCANabc,TM_0301,Transport,"['glucan4_c', 'glucan4_e', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'pi_c']",,Q9WYD7.pdb,Q9WYD7.pdb
1418,GLUCANabc,TM_0302,Transport,"['glucan4_c', 'glucan4_e', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'pi_c']",,Q9WYD8.pdb,Q9WYD8.pdb
1419,GLUCANabc,TM_0303,Transport,"['glucan4_c', 'glucan4_e', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'pi_c']",,Q9WYD9.pdb,Q9WYD9.pdb
1420,GLUCANabc,TM_0304,Transport,"['glucan4_c', 'glucan4_e', 'atp_c', 'h_c', 'h2o_c', 'adp_c', 'pi_c']",,Q9WYE0.pdb,Q9WYE0.pdb
1421,GLUFORT,TM_0843,Folate Metabolism,"['thf_c', 'forglu_c', 'h_c', 'glu_L_c', '5forthf_c']",,Q9WZU7.pdb,Q9WZU7.pdb
1422,GLUFT,TM_0843,Folate Metabolism,"['thf_c', 'Nforglu_c', '5fthf_c', 'glu_L_c', 'h_c']",,Q9WZU7.pdb,Q9WZU7.pdb
1423,GLUPRT,TM_1247,Purine Biosynthesis,"['prpp_c', 'glu_L_c', 'h2o_c', 'gln_L_c', 'ppi_c', 'pram_c']",,Q9X0X4.pdb,Q9X0X4.pdb
1424,GLUSy,TM_0397,Glutamate Metabolism,"['akg_c', 'glu_L_c', 'h_c', 'gln_L_c', 'nadp_c', 'nadph_c']",,Q9WYM8.pdb,Q9WYM8.pdb
1425,GLUSy,TM_1217,Glutamate Metabolism,"['akg_c', 'glu_L_c', 'h_c', 'gln_L_c', 'nadp_c', 'nadph_c']",,Q9X0U4.pdb,Q9X0U4.pdb
1426,GLUSy,TM_1640,Glutamate Metabolism,"['akg_c', 'glu_L_c', 'h_c', 'gln_L_c', 'nadp_c', 'nadph_c']",,Q9X1X5.pdb,Q9X1X5.pdb
1427,GLYC3Pabc,TM_1120,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'glyc3p_e', 'glyc3p_c']",,Q9X0K4.pdb,Q9X0K4.pdb
1428,GLYC3Pabc,TM_1121,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'glyc3p_e', 'glyc3p_c']",,Q9X0K5.pdb,Q9X0K5.pdb
1429,GLYC3Pabc,TM_1122,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'glyc3p_e', 'glyc3p_c']",,Q9X0K6.pdb,Q9X0K6.pdb
1430,GLYCD_r,TM_0423,Alternate Carbon Metabolism,"['dha_c', 'nadh_c', 'nad_c', 'glyc_c', 'h_c']",1KQ3,,1kq3.pdb
1433,GLYCK2,TM_1585,Others,"['atp_c', 'h_c', '2pg_c', 'adp_c', 'glyc_R_c']",2B8N,,2b8n.pdb
1434,GLYCt1,TM_1429,Transport,"['glyc_e', 'glyc_c']",,Q9X1E3.pdb,Q9X1E3.pdb
1435,GLYD,TM_1401,Serine Metabolism,"['h_c', 'nad_c', 'nadh_c', 'hpyr_c', 'glyc_R_c']",,Q9X1C1.pdb,Q9X1C1.pdb
1436,GLYK,TM_0952,Alternate Carbon Metabolism,"['glyc_c', 'atp_c', 'h_c', 'adp_c', 'glyc3p_c']",,Q9X049.pdb,Q9X049.pdb
1437,GLYK,TM_1430,Alternate Carbon Metabolism,"['glyc_c', 'atp_c', 'h_c', 'adp_c', 'glyc3p_c']",,Q9X1E4.pdb,Q9X1E4.pdb
1438,GLYTRS,TM_0216,tRNA Metabolism,"['atp_c', 'ppi_c', 'gly_c', 'amp_c', 'glytrna_c', 'trnagly_c']",1J5W,,1j5w.pdb
1439,GLYTRS,TM_0217,tRNA Metabolism,"['atp_c', 'ppi_c', 'gly_c', 'amp_c', 'glytrna_c', 'trnagly_c']",,Q9WY60.pdb,Q9WY60.pdb
1440,GMPS2,TM_1820,Purine Metabolism,"['atp_c', 'glu_L_c', 'amp_c', 'gln_L_c', 'gmp_c', 'xmp_c', 'h_c', 'h2o_c', 'ppi_c']",,Q9X2E0.pdb,Q9X2E0.pdb
1441,GND,TM_0438,Pentose Phosphate Pathway,"['6pgc_c', 'nadph_c', 'nadp_c', 'co2_c', 'ru5p_D_c']",,Q9WYR9.pdb,Q9WYR9.pdb
1442,GNK,TM_0443,Entner-Doudoroff pathway,"['6pgc_c', 'h_c', 'glcn_c', 'adp_c', 'atp_c']",,Q9WYS4.pdb,Q9WYS4.pdb
1443,GPDDA1,TM_1621,Glycerophospholipid Metabolism,"['g3pc_c', 'h_c', 'chol_c', 'glyc3p_c', 'h2o_c']",1O1Z,,1o1z_modified_min.pdb
